code,name,state,lat,lon,lat_raw,lon_raw,elevation_ft,mag_var,certification,utc_offset,has_fuel,fuel_types,avgas,mogas,jet_a1,jet_b,f34,fsii,jetplus,fuel_caveat,fuel_source,payment_methods,pay_carnet,pay_credit,pay_eftpos,pay_cash,pay_account,pay_app,pay_fuelcard,controlled,airspace_class,ctaf,frequencies,runway_count,runway_summary,handling_raw
YAAP,PINKENBA,QLD,-27.435556,153.112222,272608S,1530644E,13,11 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,,FIA 125.7; ACD 118.85; APP 124.7/125.6; ATIS 113.2/125.5; TWR 118.0/120.5,0,,
YABA,ALBANY,WA,-34.943333,117.808889,345636S,1174832E,233,2 W,CERT,+8,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,Carnet,True,False,False,False,False,False,False,False,,127.85,FIA 123.9,2,05/23 ; 14/32,"AIR BP: 2300-0900 UTC JO, 0000-0400 UTC SAT, AH call-out fee applies. Phone 08 6820 3781.
Air BP Carnet card 24H bowser AVGAS and JET A1. JET A1 pressure refuel AVBL with
30 MINS PN."
YABR,ABRA MINE,WA,-24.624167,118.620278,243727S,1183713E,1730,1 E,CERT,+8,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 123.4,1,11/29 Gravel,"Marshalling, parking allocation and ground handling services by prior arrangement with AD MGR."
YADG,ALDINGA,SA,-35.288889,138.493333,351720S,1382936E,110,8 E,UNCR,+9:30,True,AVGAS,True,False,False,False,False,False,False,False,handling_section,Credit card,False,True,False,False,False,False,False,False,,127.15,FIA 130.45,0,,AVGAS - 24HR credit card swipe bowser (MC and V only).
YADY,ADAMINABY,NSW,-35.998333,148.796667,355954S,1484748E,3350,13 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 120.75,1,09/27 Grass,
YAGD,AUGUSTUS DOWNS,QLD,-18.515556,139.878611,183056S,1395243E,150,5 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 125.7; CTAF 126.7,0,,
YALA,MARLA,SA,-27.334167,133.626389,272003S,1333735E,1076,5 E,UNCR,+9:30,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 120.7; CTAF 126.7,1,18/36 Sealed,
YALG,ADELS GROVE,QLD,-18.6925,138.531389,184133S,1383153E,,5 E,UNCR,+10,True,AVGAS,True,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 125.7; CTAF 126.7,0,,AVGAS pump.
YAMB,AMBERLEY,QLD,-27.640556,152.711944,273826S,1524243E,91,11 E,MIL,+10,True,F34,False,False,False,False,True,False,False,False,handling_section,,False,False,False,False,False,False,False,True,G,118.3,FIA 121.2; FIA 125.7; ACD 134.6; APP 126.2; ATIS 123.3; SMC 129.35; SMCV 121.925; TWR 118.3; FREQ 134.3/121.2,2,"04/22 Grooved; 15/33 Grooved, Asphalt, Grass","F34, 0135, O148, O156, H515, WTA (24HR PN), PRESAIR, HPOX, LHOX, LOX (24HR PN),
LPOX, E1, E2, E3, E4, E5, E8, E9, E10, E11, E12, E13, E14, E15, E16, C, CM.
Engine Running Offload (ERO), 30MIN PN.
Air Movements/Base Duty Crew AVBL 2130-0630 UTC MON-THU, 2130-0230 UTC FRI, OT PN.
Airbase Operations Centre (ABOC) Phone 07 5361 2888 or 0473 628 662.
General
AMS (MIL) AVBL on 361.6 or THRU ABOC Phone 07 5361 2888 or THRU AMB Switch
07 5361 1111. AMS availability may be amended by NOTAM. AMS maybe vacated during
promulgated HR when long breaks BTN SKED MOV occur. ABOC Duty contact only applies."
YAMC,ARAMAC,QLD,-22.959444,145.2525,225734S,1451509E,760,8 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 122.1; CTAF 126.7,1,(unnamed) Sealed,
