code,rwy,cn,tora_m,toda_m,asda_m,lda_m,width_m,slope
YABA,05,2,1096,1156,1096,1096,30,0.3% down to SW
YABA,23,2,1096,1159,1096,1096,30,0.3% down to SW
YABA,14,3,1800,1860,1800,1800,30,0.1% down to SE
YABA,32,3,1800,1860,1800,1800,30,0.1% down to SE
YABR,11,3,1800,1860,1800,1800,30,0.196% down to E
YABR,29,3,1800,1860,1800,1800,30,0.196% down to E
YAMB,04,MIL,1523,1583,1523,1523,45,
YAMB,22,MIL,1523,1583,1523,1523,45,
YAMB,15,MIL,3047,3107,3047,3047,45,
YAMB,33,MIL,3047,3107,3047,3047,45,
YANG,04,3,1840,1900,1840,1840,30,1.07% down to SW
YANG,22,3,1900,1960,1900,1840,30,1.07% down to SW
YAPH,18,2,1456,1516,1456,1456,30,0.2% down to N
YAPH,36,2,1456,1516,1456,1456,30,0.2% down to N
YARA,04,1,660,720,660,660,30,0.4% down to NE
YARA,22,1,660,720,660,660,30,0.4% down to NE
YARA,12,1,1240,1300,1240,1240,18,0.2% down to NW
YARA,30,1,1240,1300,1240,1240,18,0.2% down to NW
YARM,05,3,1738,1798,1738,1738,30,0.4% down to SW
YARM,23,3,1798,1858,1798,1738,30,0.4% down to SW
YARM,09,2,1116,1176,1116,1116,30,0.8% down to W
YARM,27,2,1116,1176,1116,1116,30,0.8% down to W
YAUR,16,2,1260,1320,1260,1260,30,Level
YAUR,34,2,1260,1320,1260,1260,30,Level
YAYE,13,3,2599,2659,2599,2599,30,SE end level to RWY centre
YAYE,31,3,2599,2659,2599,2599,30,SE end level to RWY centre
YBAF,04L,2,1245,1305,1245,1245,30,0.25% down to NE
YBAF,22R,2,1245,1305,1245,955,30,0.25% down to NE
YBAF,04R,2,1100,1160,1100,1100,30,0.3% down to NE
YBAF,22L,2,1100,1160,1100,1100,30,0.3% down to NE
YBAF,10L,3,1556,1637,1556,1406,30,0.5% down to W
YBAF,28R,3,1577,1727,1577,1350,30,0.5% down to W
YBAF,10R,2,1100,1160,1100,1100,30,0.5% down to W
YBAF,28L,2,1100,1160,1100,1100,30,0.5% down to W
YBAR,01,3,1702,1762,1702,1702,30,0.1% down to N
YBAR,19,3,1702,1762,1702,1702,30,0.1% down to N
YBAR,14,2,1115,1175,1115,1115,30,0.2% down to NW
YBAR,32,2,1115,1175,1115,1115,30,0.2% down to NW
YBAS,12,4,2438,2738,2438,2438,45,0.3% down to SE
YBAS,30,4,2438,2738,2438,2438,45,0.3% down to SE
YBAS,17,2,1133,1193,1133,1133,18,0.2% down to S
YBAS,35,2,1133,1193,1133,1133,18,0.2% down to S
YBBN,01L,4,3300,3360,3300,3300,60,0.2% up from 600M both ends for 400M
YBBN,19R,4,3300,3360,3300,3300,60,0.2% up from 600M both ends for 400M
YBBN,01R,4,3500,3620,3560,3500,45,Level
YBBN,19L,4,3560,3620,3560,3560,45,Level
YBCG,14,4,2342,2402,2342,2342,45,0.1% down to SE
YBCG,32,4,2492,2552,2492,2042,45,0.1% down to SE
YBCG,17,1,582,642,582,582,18,0.2% down to S
YBCG,35,1,582,612,582,582,18,0.2% down to S
YBCK,06,3,1688,1748,1688,1688,30,0.1% down to SW
YBCK,24,3,1688,1748,1688,1688,30,0.1% down to SW
YBCK,12,2,1603,1663,1603,1603,30,0.1% down to NW
YBCK,30,2,1603,1663,1603,1603,30,0.1% down to NW
YBCS,15,4,3156,3256,3156,3156,45,Level
YBCS,33,4,3196,3256,3196,3156,45,Level
YBCV,12,3,1524,1676,1524,1524,30,0.3% down to NW
YBCV,30,3,1524,1676,1524,1524,30,0.3% down to NW
YBCV,18,2,1067,1127,1067,1067,23,Level
YBCV,36,2,1067,1127,1067,1067,23,Level
YBDG,05,1,767,827,767,767,18,0.4% down to NE
YBDG,23,1,767,827,767,767,18,0.4% down to NE
YBDG,17,3,1600,1660,1600,1600,30,"600M N end 0.9% down to S, 1000M S end 1.1% down to N"
YBDG,35,3,1600,1660,1600,1600,30,"600M N end 0.9% down to S, 1000M S end 1.1% down to N"
YBDV,03,1,800,830,800,800,18,Level
YBDV,21,1,800,830,800,800,18,Level
YBDV,14,3,1732,1822,1732,1732,30,0.1% down to SE
YBDV,32,3,1732,1792,1732,1732,30,0.1% down to SE
YBGD,08,4,2200,2260,2200,2200,45,0.66% down to W
YBGD,26,4,2200,2260,2200,2200,45,0.66% down to W
YBGO,15,2,1610,1670,1610,1610,30,0.8% down to NW
YBGO,33,2,1610,1670,1610,1610,30,0.8% down to NW
YBHI,05,3,2512,2572,2512,2512,30,0.62% down to SW
YBHI,23,3,2512,2572,2512,2512,30,0.62% down to SW
YBHI,14,2,1000,1060,1000,1000,30,from ends 0.32% down to point 670M from NW end
YBHI,32,2,1000,1060,1000,1000,30,from ends 0.32% down to point 670M from NW end
YBHM,14,3,1766,1841,1766,1706,45,Level
YBHM,32,3,1766,1826,1766,1706,45,Level
YBIE,14,2,1810,1870,1810,1810,30,"from centre, 0.2% down to NW and 0.12% down to SE"
YBIE,32,2,1810,1870,1810,1810,30,"from centre, 0.2% down to NW and 0.12% down to SE"
YBIR,04,1,1043,1103,1043,1043,18,Level
YBIR,22,1,1043,1103,1043,977,18,Level
YBIR,09,1,524,584,524,524,30,Level
YBIR,27,1,524,584,524,524,30,Level
YBKE,05,3,1830,1890,1830,1830,30,Level
YBKE,23,3,1830,1890,1830,1830,30,Level
YBKE,18,1,1000,1060,1000,1000,30,Level
YBKE,36,1,1000,1060,1000,1000,30,Level
YBKT,03,3,1372,1432,1372,1372,30,0.1% down to NE
YBKT,21,3,1372,1432,1372,1372,30,0.1% down to NE
YBLA,08,1,1043,1103,1043,1043,18,0.1% down to W
YBLA,26,1,1043,1103,1043,1043,18,0.1% down to W
YBLA,17,1,718,778,718,718,30,0.1% down to N
YBLA,35,1,718,778,718,718,30,0.1% down to N
YBLN,03,4,2460,2520,2460,2460,45,Level
YBLN,21,4,2460,2520,2460,2460,45,Level
YBLT,05,3,1265,1325,1265,1265,30,0.4% from centre down to ends
YBLT,23,3,1265,1325,1265,1265,30,0.4% from centre down to ends
YBLT,13,1,568,628,568,568,30,0.6% down to N
YBLT,31,1,568,628,568,568,30,0.6% down to N
YBLT,18,3,1798,1858,1798,1798,30,0.1% down to N
YBLT,36,3,1798,1858,1798,1798,30,0.1% down to N
YBLU,01,3,2000,2060,2000,2000,30,0.28% down to S
YBLU,19,3,2000,2060,2000,2000,30,0.28% down to S
YBMA,16,4,2560,2620,2560,2560,45,"510M S end 0.1% down to S, 2050M N end 0.15% down to N"
YBMA,34,4,2560,2620,2560,2560,45,"510M S end 0.1% down to S, 2050M N end 0.15% down to N"
YBMK,14,4,1981,2041,1981,1981,45,Level
YBMK,32,4,1981,2041,1981,1981,45,Level
YBNA,06,3,1900,1960,1900,1900,30,Level
YBNA,24,3,1900,1960,1900,1900,30,Level
YBNS,04,1,1098,1158,1098,1098,18,0.3% down to NE
YBNS,22,1,1098,1158,1098,1098,18,0.3% down to NE
YBNS,13,1,852,912,852,852,18,0.1% down to SE
YBNS,31,1,852,912,852,852,18,0.1% down to SE
YBOK,05,MIL,914,974,914,914,23,0.19% down to SW
YBOK,23,MIL,914,974,914,914,23,0.19% down to SW
YBOK,09,MIL,1089,1149,1089,1089,23,0.24% down to W
YBOK,27,MIL,1089,1149,1089,1089,23,0.24% down to W
YBOK,14,MIL,1649,1709,1649,1649,30,0.03% down to NW
YBOK,32,MIL,1707,1767,1707,1707,30,0.03% down to NW
YBOU,14,3,1801,1861,1801,1801,30,0.15% down to SE
